;year;kommune;perc_change;forandr;reference;faktisk_perf;forventet_perf;indbyggertal;exp;borgmesterskift;partiskift;social;newyear;perc_change_sd
1;2019;Fanø Kommune;0,000979046;4;0,8;8,3;7,5;3404;68991;1;1;1;01-01-2019;0,769502979
2;2019;Morsø Kommune;0,000552635;3;0,5;7,1;6,6;20403;69409;0;0;2;01-01-2019;0,434355629
3;2016;Brønderslev Kommune;0,005698883;97;0,4;7,2;6,8;36047;59342;0;0;1;01-01-2016;4,479162289
4;2016;Favrskov Kommune;0,004771514;112;0,4;7,7;7,3;47655;57903;0;0;2;01-01-2016;3,750275961
5;2016;Kolding Kommune;0,001986268;131;0,4;7,4;7;91695;58104;0;0;3;01-01-2016;1,561150948
6;2016;Ærø Kommune;0,002465202;126;0,4;7;6,6;6290;61465;1;0;4;01-01-2016;1,937579809
7;2017;Solrød Kommune;0,003222645;87;0,4;7,7;7,3;22147;60541;0;0;1;01-01-2017;2,53290873
8;2018;Brønderslev Kommune;0,00610174;73;0,4;7,5;7,1;36289;60811;0;0;1;01-01-2018;4,79579676
9;2018;Kolding Kommune;0,001957854;120;0,4;7,5;7,1;92515;59452;0;0;2;01-01-2018;1,538818709
10;2018;Solrød Kommune;0,002690618;79;0,4;7,7;7,3;22518;64473;0;0;3;01-01-2018;2,114750577
11;2019;Vallensbæk Kommune;0,004033534;17;0,4;7,2;6,8;16654;68371;0;0;3;01-01-2019;3,170244897
12;2019;Ærø Kommune;0,001619832;25;0,4;7,5;7,1;6058;63595;1;0;4;01-01-2019;1,273142476
13;2016;Egedal Kommune;0,003401496;87;0,4;7,8;7,4;42773;65310;0;0;5;01-01-2016;2,673480407
14;2016;Nyborg Kommune;0,001096397;39;0,4;7,1;6,7;31886;57545;0;0;6;01-01-2016;0,861737559
15;2018;Billund Kommune;0,002096277;87;0,4;7,1;6,7;26482;69247;0;0;4;01-01-2018;1,647614853
16;2018;Skive Kommune;0,002757253;95;0,4;7,3;6,9;46599;66148;0;0;5;01-01-2018;2,16712338
17;2016;Roskilde Kommune;0,001574919;62;0,3;7,9;7,6;86207;73704;0;0;7;01-01-2016;1,237842143
18;2017;Kolding Kommune;0,001169906;48;0,3;7,4;7,1;92282;59627;0;0;2;01-01-2017;0,919513232
19;2018;Dragør Kommune;0,002993258;97;0,3;7,9;7,6;14272;66548;0;0;6;01-01-2018;2,352616725
20;2019;Kolding Kommune;0,001861819;29;0,3;7,4;7,1;92893;61621;0;0;5;01-01-2019;1,463337516
21;2016;Billund Kommune;0,001239763;67;0,3;7;6,7;26434;64818;0;0;8;01-01-2016;0,974418723
22;2016;Herning Kommune;0,001827261;137;0,3;7,3;7;87593;59118;0;0;9;01-01-2016;1,436176235
23;2016;Holstebro Kommune;0,002270895;56;0,3;7,3;7;57661;54120;0;0;10;01-01-2016;1,784859712
24;2016;Langeland Kommune;0,001714346;48;0,3;6,8;6,5;12547;90670;1;1;11;01-01-2016;1,34742785
25;2016;Skanderborg Kommune;0,005163381;271;0,3;7,7;7,4;59481;60617;0;0;12;01-01-2016;4,058273032
26;2016;Varde Kommune;0,002693794;60;0,3;7,1;6,8;50289;68071;0;0;13;01-01-2016;2,117246445
27;2017;Assens Kommune;0,002247605;109;0,3;7,2;6,9;41390;63637;0;0;3;01-01-2017;1,766554783
28;2017;Billund Kommune;0,00294187;167;0,3;7,2;6,9;26481;67587;0;0;4;01-01-2017;2,31222753
29;2017;Favrskov Kommune;0,001961696;46;0,3;7,5;7,2;47915;56972;0;0;5;01-01-2017;1,5418377
30;2017;Faaborg-Midtfyn Kommune;0,001307915;35;0,3;7,1;6,8;51376;63786;1;1;6;01-01-2017;1,027984501
31;2017;Hedensted Kommune;0,000188413;3;0,3;7,2;6,9;46524;63679;1;1;7;01-01-2017;0,148086996
32;2017;Herning Kommune;0,001916032;77;0,3;7,3;7;88386;61841;0;0;8;01-01-2017;1,50594733
33;2017;Holstebro Kommune;0,002158409;35;0,3;7,5;7,2;58125;57844;0;0;9;01-01-2017;1,696448772
34;2017;Mariagerfjord Kommune;0,002134616;61;0,3;7,1;6,8;42066;66689;0;0;10;01-01-2017;1,677748064
35;2017;Viborg Kommune;0,001960035;99;0,3;7,3;7;96477;59457;1;1;11;01-01-2017;1,540532401
36;2018;Assens Kommune;0,00146468;61;0,3;7;6,7;41328;64838;0;0;7;01-01-2018;1,151197476
37;2018;Brøndby Kommune;0,001881335;9;0,3;6,7;6,4;35538;79678;0;0;8;01-01-2018;1,478676923
38;2018;Herning Kommune;0,002188739;101;0,3;7,3;7;88733;61048;0;0;9;01-01-2018;1,720287444
39;2018;Nyborg Kommune;0,002485432;85;0,3;7;6,7;32032;59216;0;0;10;01-01-2018;1,953480257
40;2018;Skanderborg Kommune;0,0041039;231;0,3;7,7;7,4;61158;64734;0;0;11;01-01-2018;3,225550002
41;2019;Herning Kommune;0,002673426;18;0,3;7,2;6,9;88917;62527;0;0;6;01-01-2019;2,101237596
42;2019;Jammerbugt Kommune;0,002850187;52;0,3;7;6,7;38460;68966;0;0;7;01-01-2019;2,240167409
43;2019;Kerteminde Kommune;0,001408325;7;0,3;7,2;6,9;23773;69186;1;1;8;01-01-2019;1,106904187
44;2019;Varde Kommune;0,002267481;33;0,3;7,1;6,8;50129;66978;0;0;9;01-01-2019;1,78217645
45;2019;Vejen Kommune;0,00363288;29;0,3;7;6,7;42863;62294;0;0;10;01-01-2019;2,855341761
46;2018;Gentofte Kommune;0,00262331;47;0,2;8,3;8,1;75803;58893;0;0;12;01-01-2018;2,06184822
47;2016;Assens Kommune;0,002483262;80;0,2;7;6,8;41224;63227;0;0;14;01-01-2016;1,951774654
48;2016;Fanø Kommune;0,001249904;38;0,2;7,9;7,7;3290;70175;1;1;15;01-01-2016;0,982389654
49;2016;Haderslev Kommune;0,003372143;120;0,2;7;6,8;56029;61217;0;0;16;01-01-2016;2,65040958
50;2016;Hedensted Kommune;0,001789891;26;0,2;7;6,8;46206;60304;1;1;17;01-01-2016;1,406804114
51;2016;Ikast-Brande Kommune;0,001737284;98;0,2;6,7;6,5;40798;64977;1;0;18;01-01-2016;1,365456472
52;2016;Jammerbugt Kommune;0,002694574;77;0,2;7;6,8;38466;60692;0;0;19;01-01-2016;2,117860034
53;2016;Lemvig Kommune;0,001177917;30;0,2;7;6,8;20399;65762;0;0;20;01-01-2016;0,92580963
54;2016;Nordfyns Kommune;0,000837559;18;0,2;6,7;6,5;29298;64842;0;0;21;01-01-2016;0,658298255
55;2016;Struer Kommune;0,002111985;35;0,2;6,9;6,7;21474;66711;1;1;22;01-01-2016;1,659961348
56;2016;Tårnby Kommune;0,001748731;35;0,2;6,7;6,5;42860;69046;1;0;23;01-01-2016;1,374453846
57;2016;Vesthimmerlands Kommune;0,002330311;64;0,2;6,9;6,7;37296;64999;1;1;24;01-01-2016;1,831558759
58;2017;Fredensborg Kommune;0,00356144;106;0,2;7,7;7,5;40504;63890;0;0;12;01-01-2017;2,799192199
59;2017;Silkeborg Kommune;0,002510759;119;0,2;7,4;7,2;91237;58003;0;0;13;01-01-2017;1,973386546
60;2017;Skive Kommune;0,002402659;78;0,2;7,2;7;46540;64472;0;0;14;01-01-2017;1,888422679
61;2017;Varde Kommune;0,001203734;72;0,2;7;6,8;50452;66171;0;0;15;01-01-2017;0,946100996
62;2018;Favrskov Kommune;0,001607565;63;0,2;7,3;7,1;48271;60181;0;0;13;01-01-2018;1,263500982
63;2018;Horsens Kommune;0,005818019;302;0,2;7;6,8;89598;61606;0;0;14;01-01-2018;4,572800218
64;2018;Ikast-Brande Kommune;0,002180705;83;0,2;6,8;6,6;41191;66020;1;0;15;01-01-2018;1,713973213
65;2018;Kerteminde Kommune;0,003168105;54;0,2;7,2;7;23756;68491;1;1;16;01-01-2018;2,490041896
66;2018;Mariagerfjord Kommune;0,002257324;72;0,2;7,2;7;42125;68524;0;0;17;01-01-2018;1,774193012
67;2018;Nordfyns Kommune;0,001343832;19;0,2;7;6,8;29516;67645;0;0;18;01-01-2018;1,056214639
68;2018;Odder Kommune;0,001293665;55;0,2;7,4;7,2;22626;63149;0;0;19;01-01-2018;1,01678418
69;2018;Rebild Kommune;0,002460509;144;0,2;7,5;7,3;29827;62887;0;0;20;01-01-2018;1,933891242
70;2018;Slagelse Kommune;0,005875201;233;0,2;6,8;6,6;78968;69384;1;1;21;01-01-2018;4,617743401
71;2018;Struer Kommune;0,002175252;44;0,2;7,2;7;21270;68639;1;1;22;01-01-2018;1,709687113
72;2018;Aabenraa Kommune;0,00158841;140;0,2;6,8;6,6;59089;65813;0;0;23;01-01-2018;1,248446002
73;2019;Billund Kommune;0,00176699;27;0,2;7;6,8;26629;67751;0;0;11;01-01-2019;1,38880472
74;2019;Holstebro Kommune;0,000801282;1;0,2;7,4;7,2;58504;59828;0;0;12;01-01-2019;0,629785234
75;2019;Horsens Kommune;0,001994366;36;0,2;7;6,8;90370;61871;0;0;13;01-01-2019;1,567515428
76;2019;Mariagerfjord Kommune;0,001170483;9;0,2;7;6,8;42055;67653;0;0;14;01-01-2019;0,91996708
77;2019;Randers Kommune;0,001166232;26;0,2;6,7;6,5;97909;63027;1;1;15;01-01-2019;0,916625839
78;2019;Sønderborg Kommune;0,001256699;8;0,2;7;6,8;74561;64524;0;0;16;01-01-2019;0,987730345
79;2019;Thisted Kommune;0,003328198;63;0,2;6,9;6,7;43660;65831;1;1;17;01-01-2019;2,615870506
80;2019;Aabenraa Kommune;0,001579913;29;0,2;6,7;6,5;59035;64825;0;0;18;01-01-2019;1,241767211
81;2016;Skive Kommune;0,001438574;58;0,2;7,1;6,9;46639;63528;0;0;25;01-01-2016;1,130678475
82;2016;Syddjurs Kommune;0,001852155;66;0,2;7,1;6,9;41889;67416;1;1;26;01-01-2016;1,455741743
83;2016;Vallensbæk Kommune;0,00390484;106;0,2;7,6;7,4;15419;66405;0;0;27;01-01-2016;3,069094586
84;2017;Esbjerg Kommune;0,003613851;131;0,2;7,1;6,9;115905;61940;1;0;16;01-01-2017;2,840385379
85;2017;Furesø Kommune;0,001919638;82;0,2;8,1;7,9;40613;68966;0;0;17;01-01-2017;1,508782036
86;2017;Hørsholm Kommune;0,001458838;22;0,2;8,6;8,4;24977;62732;0;0;18;01-01-2017;1,146605531
87;2017;Norddjurs Kommune;0,001590324;59;0,2;6,6;6,4;38099;74564;0;0;19;01-01-2017;1,249950128
88;2018;Allerød Kommune;0,002085888;127;0,2;8,2;8;25235;66901;1;1;24;01-01-2018;1,63944945
89;2018;Faaborg-Midtfyn Kommune;0,003139896;85;0,2;7,1;6,9;51536;65149;1;1;25;01-01-2018;2,467870497
90;2018;Odense Kommune;0,001742396;142;0,2;7,1;6,9;202348;62856;0;0;26;01-01-2018;1,369474112
91;2019;Faaborg-Midtfyn Kommune;0,00185313;17;0,2;6,6;6,4;51809;65106;1;1;19;01-01-2019;1,456508254
92;2019;Struer Kommune;0,000589581;3;0,2;7,1;6,9;21143;75956;1;1;20;01-01-2019;0,463394526
93;2016;Faxe Kommune;0,001823002;68;0,1;6,7;6,6;35614;59444;0;0;28;01-01-2016;1,432828836
94;2016;Fredensborg Kommune;0,001830825;76;0,1;7,7;7,6;40112;66208;0;0;29;01-01-2016;1,438977207
95;2016;Faaborg-Midtfyn Kommune;0,001129656;28;0,1;6,7;6,6;51236;61068;1;1;30;01-01-2016;0,887877995
96;2016;Læsø Kommune;0,0020106;40;0,1;6,7;6,6;1817;81522;1;1;31;01-01-2016;1,580275502
97;2016;Silkeborg Kommune;0,002425662;106;0,1;7,2;7,1;90719;56646;0;0;32;01-01-2016;1,906502606
98;2016;Solrød Kommune;0,001867499;44;0,1;7,4;7,3;21788;60324;0;0;33;01-01-2016;1,467801492
99;2016;Aabenraa Kommune;0,002311336;113;0,1;6,9;6,8;58869;63663;0;0;34;01-01-2016;1,816644933
100;2017;Bornholms Kommune;0,003599269;138;0,1;6,9;6,8;39695;65332;0;0;20;01-01-2017;2,828924333
101;2017;Brønderslev Kommune;0,004322806;71;0,1;6,9;6,8;36128;60571;0;0;21;01-01-2017;3,397604101
102;2017;Haderslev Kommune;0,003094593;145;0,1;6,9;6,8;56045;63796;0;0;22;01-01-2017;2,432263518
103;2017;Horsens Kommune;0,003569747;110;0,1;6,9;6,8;89030;60441;0;0;23;01-01-2017;2,805720993
104;2017;Ikast-Brande Kommune;0,002191568;87;0,1;6,7;6,6;40981;66564;1;0;24;01-01-2017;1,722510906
105;2017;Nyborg Kommune;0,002161816;77;0,1;6,7;6,6;32142;57981;0;0;25;01-01-2017;1,699127052
106;2017;Svendborg Kommune;0,001815501;95;0,1;7,2;7,1;58510;68065;1;1;26;01-01-2017;1,426932911
107;2017;Sønderborg Kommune;0;0;0,1;6,9;6,8;74801;65943;0;0;27;01-01-2017;0
108;2017;Aalborg Kommune;0,002629016;195;0,1;7,2;7,1;211937;66722;0;0;28;01-01-2017;2,066332542
109;2017;Aarhus Kommune;0,00115022;10;0,1;7,4;7,3;335684;63473;0;0;29;01-01-2017;0,904040889
110;2018;Fredensborg Kommune;0,002329131;109;0,1;7,7;7,6;40779;66682;0;0;27;01-01-2018;1,83063172
111;2018;Frederikshavn Kommune;0,003647285;103;0,1;6,7;6,6;60140;66149;0;0;28;01-01-2018;2,866663605
112;2018;Hjørring Kommune;0,003096525;187;0,1;6,7;6,6;65257;63961;0;0;29;01-01-2018;2,433782146
113;2018;Randers Kommune;0,002055276;103;0,1;6,7;6,6;98265;62758;1;1;30;01-01-2018;1,615389293
114;2018;Ringkøbing-Skjern Kommune;0,001596768;221;0,1;6,7;6,6;57005;62699;1;0;31;01-01-2018;1,255014739
115;2018;Samsø Kommune;0,001117314;66;0,1;6,4;6,3;3720;83258;0;0;32;01-01-2018;0,878177667
116;2019;Frederikshavn Kommune;0,002116046;16;0,1;6,7;6,6;59987;66598;0;0;21;01-01-2019;1,663152669
117;2019;Læsø Kommune;0,001334096;4;0,1;6,9;6,8;1806;100530;1;1;22;01-01-2019;1,048561808
118;2019;Syddjurs Kommune;0,001774949;27;0,1;6,9;6,8;42768;68149;1;1;23;01-01-2019;1,395060531
119;2019;Vejle Kommune;0,00268444;40;0,1;7,2;7,1;114830;64442;0;0;24;01-01-2019;2,109894715
120;2016;Allerød Kommune;0,00270976;420;0,1;8,1;8;24732;61112;1;1;35;01-01-2016;2,129795649
121;2016;Frederikshavn Kommune;0,002041707;80;0,1;6,8;6,7;60246;63640;0;0;36;01-01-2016;1,604724263
122;2016;Furesø Kommune;0,001514483;73;0,1;8;7,9;40156;67234;0;0;37;01-01-2016;1,190340918
123;2016;Hørsholm Kommune;0,000808861;15;0,1;8,2;8,1;24965;61198;0;0;38;01-01-2016;0,635742333
124;2016;Mariagerfjord Kommune;0,002675979;46;0,1;7,1;7;42131;64653;0;0;39;01-01-2016;2,103244402
125;2016;Rebild Kommune;0,002901723;159;0,1;7,1;7;29149;61013;0;0;40;01-01-2016;2,280672889
126;2016;Rødovre Kommune;0,00139427;29;0,1;7;6,9;38002;75164;0;0;41;01-01-2016;1,095856869
127;2016;Svendborg Kommune;0,003860516;133;0,1;7,1;7;58228;66018;1;1;42;01-01-2016;3,034257486
128;2016;Viborg Kommune;0,001587006;81;0,1;7,1;7;95776;56998;1;1;43;01-01-2016;1,24734217
129;2016;Aalborg Kommune;0,002220366;180;0,1;7,3;7,2;210316;65850;0;0;44;01-01-2016;1,745145101
130;2016;Aarhus Kommune;0,000835296;14;0,1;7,3;7,2;330639;62334;0;0;45;01-01-2016;0,656519416
131;2017;Egedal Kommune;0,00162542;44;0,1;7,6;7,5;43082;66832;0;0;30;01-01-2017;1,277534348
132;2017;Frederikshavn Kommune;0,002403178;87;0,1;6,8;6,7;60356;66731;0;0;31;01-01-2017;1,888830671
133;2017;Rebild Kommune;0,002931088;190;0,1;7,5;7,4;29391;60332;0;0;32;01-01-2017;2,303753025
134;2017;Skanderborg Kommune;0,004366685;300;0,1;7,5;7,4;60401;62136;0;0;33;01-01-2017;3,43209189
135;2017;Syddjurs Kommune;0,001527174;65;0,1;7,1;7;42021;67402;1;1;34;01-01-2017;1,200315668
136;2017;Tårnby Kommune;0,002990643;65;0,1;7;6,9;43010;68811;1;0;35;01-01-2017;2,350561523
137;2017;Vesthimmerlands Kommune;0,002017444;77;0,1;6,8;6,7;37285;65464;1;1;36;01-01-2017;1,585654105
138;2017;Ærø Kommune;0,00201117;102;0,1;7,1;7;6177;60492;1;0;37;01-01-2017;1,580723107
139;2017;Aabenraa Kommune;0,001903088;91;0,1;6,8;6,7;59003;65407;0;0;38;01-01-2017;1,495773795
140;2018;Ballerup Kommune;0,003176716;119;0,1;7,3;7,2;48295;79247;0;0;33;01-01-2018;2,49680963
141;2018;Esbjerg Kommune;0,005100847;281;0,1;7;6,9;116032;64247;1;0;34;01-01-2018;4,009123017
142;2018;Hedensted Kommune;0,003498976;58;0,1;7;6,9;46616;65203;1;1;35;01-01-2018;2,750096912
143;2018;Holstebro Kommune;0,003069425;86;0,1;7,1;7;58418;58656;0;0;36;01-01-2018;2,412481986
144;2018;Lemvig Kommune;0,00163653;43;0,1;7,1;7;20133;72629;0;0;37;01-01-2018;1,28626693
145;2018;Rudersdal Kommune;0,003692068;167;0,1;8,2;8,1;55989;64203;0;0;38;01-01-2018;2,901861647
146;2018;Vejen Kommune;0,002050075;78;0,1;6,8;6,7;42844;63511;0;0;39;01-01-2018;1,611301777
147;2018;Vejle Kommune;0,001831586;59;0,1;7,1;7;114140;63222;0;0;40;01-01-2018;1,439575094
148;2018;Viborg Kommune;0,001815283;84;0,1;7,1;7;96883;60820;1;1;41;01-01-2018;1,426761805
149;2018;Ærø Kommune;0,001633756;83;0,1;7,1;7;6178;63500;1;0;42;01-01-2018;1,284086542
150;2018;Aalborg Kommune;0,002110108;180;0,1;7,3;7,2;213558;68294;0;0;43;01-01-2018;1,6584857
151;2019;Allerød Kommune;0,001884463;32;0,1;8,1;8;25646;70915;1;1;25;01-01-2019;1,481134913
152;2019;Assens Kommune;0,00301975;34;0,1;6,8;6,7;41212;65062;0;0;26;01-01-2019;2,373439173
153;2019;Esbjerg Kommune;0,002725413;32;0,1;7,1;7;115652;66416;1;0;27;01-01-2019;2,142098522
154;2019;Fredensborg Kommune;0,002334724;26;0,1;7,5;7,4;40819;70766;0;0;28;01-01-2019;1,835027616
155;2019;Gentofte Kommune;0,001511944;5;0,1;8,2;8,1;75176;58904;0;0;29;01-01-2019;1,188345891
156;2019;Gladsaxe Kommune;0,003365639;26;0,1;7,5;7,4;69681;71758;0;0;30;01-01-2019;2,645297915
157;2019;Hedensted Kommune;0,004397755;25;0,1;7;6,9;46747;64335;1;1;31;01-01-2019;3,456511798
158;2019;Køge Kommune;0,000746867;3;0,1;7,1;7;60675;72296;1;1;32;01-01-2019;0,587016152
159;2019;Lemvig Kommune;0,000534353;5;0,1;7;6,9;19998;72285;0;0;33;01-01-2019;0,419986555
160;2019;Lyngby-Taarbæk Kommune;0,006293887;146;0,1;8,1;8;55790;64546;0;0;34;01-01-2019;4,946818905
161;2019;Norddjurs Kommune;0,000795329;14;0,1;6,3;6,2;37680;73182;0;0;35;01-01-2019;0,625106268
162;2019;Rebild Kommune;0,00311911;74;0,1;7,3;7,2;29916;62699;0;0;36;01-01-2019;2,451532866
163;2019;Silkeborg Kommune;0,001829797;29;0,1;7,3;7,2;93054;61247;0;0;37;01-01-2019;1,438168997
164;2019;Slagelse Kommune;0,001834642;46;0,1;6,6;6,5;79073;69590;1;1;38;01-01-2019;1,441977082
165;2019;Solrød Kommune;0,002041469;28;0,1;7,6;7,5;23065;62455;0;0;39;01-01-2019;1,604537387
166;2019;Svendborg Kommune;0,000934133;15;0,1;7,1;7;58599;67780;1;1;40;01-01-2019;0,734202234
167;2019;Aalborg Kommune;0,003208319;107;0,1;7,1;7;215312;69837;0;0;41;01-01-2019;2,52164903
168;2019;Aarhus Kommune;0;0;0,1;7,3;7,2;345332;64408;0;0;42;01-01-2019;0
169;2016;Ballerup Kommune;0,004236917;144;0;6,8;6,8;48224;72013;0;0;46;01-01-2016;3,33009822
170;2016;Bornholms Kommune;0,002461335;139;0;6,4;6,4;39756;64477;0;0;47;01-01-2016;1,934540198
171;2016;Brøndby Kommune;0,000829091;2;0;6,2;6,2;35322;75700;0;0;48;01-01-2016;0,651641912
172;2016;Dragør Kommune;0,00262258;173;0;7,8;7,8;14142;58575;0;0;49;01-01-2016;2,061274329
173;2016;Esbjerg Kommune;0,002283263;97;0;6,9;6,9;115748;61710;1;0;50;01-01-2016;1,794580694
174;2016;Frederiksberg Kommune;0,001773634;105;0;7,6;7,6;104481;62242;0;0;51;01-01-2016;1,394026506
175;2016;Gentofte Kommune;0,005028539;97;0;8,2;8,2;75350;56148;0;0;52;01-01-2016;3,952290869
176;2016;Hillerød Kommune;0,001628976;93;0;7,8;7,8;49672;67087;1;1;53;01-01-2016;1,280329231
177;2016;Horsens Kommune;0,00408821;153;0;6,8;6,8;87736;60762;0;0;54;01-01-2016;3,213218369
178;2016;Køge Kommune;0,001555255;38;0;6,9;6,9;59868;63952;1;1;55;01-01-2016;1,222387038
179;2016;Lejre Kommune;0,001830318;95;0;7,3;7,3;27317;62076;0;0;56;01-01-2016;1,438578858
180;2016;Odense Kommune;0,00246399;192;0;6,9;6,9;198972;57610;0;0;57;01-01-2016;1,936627209
181;2016;Rudersdal Kommune;0,003097597;136;0;8,3;8,3;55739;63260;0;0;58;01-01-2016;2,434624569
182;2016;Stevns Kommune;0,00506952;79;0;6,6;6,6;22260;52336;1;1;59;01-01-2016;3,984500345
183;2017;Fanø Kommune;0,001338857;38;0;7,7;7,7;3345;69995;1;1;39;01-01-2017;1,0523044
184;2017;Gentofte Kommune;0,002885345;63;0;8,2;8,2;75805;56815;0;0;40;01-01-2017;2,267800394
185;2017;Gladsaxe Kommune;0,002288094;133;0;7,3;7,3;68775;67488;0;0;41;01-01-2017;1,798377755
