"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"183";2017;"Fanø Kommune";0,00194165171815623;0;7,7;7,7;3345;69995;1;1;39;"01-01-2017";1,66553442463669
"184";2017;"Gentofte Kommune";0,00133767215040433;0;8,2;8,2;75805;56815;0;0;40;"01-01-2017";1,14744523672444
"185";2017;"Gladsaxe Kommune";0,00142396013818766;0;7,3;7,3;68775;67488;0;0;41;"01-01-2017";1,22146243184852
"186";2017;"Glostrup Kommune";0,00333454817397177;0;6,8;6,8;22528;74427;0;0;42;"01-01-2017";2,86035066043318
"187";2017;"Greve Kommune";0,00213027498261784;0;7,1;7,1;49921;65078;0;0;43;"01-01-2017";1,82733406012769
"188";2017;"Hvidovre Kommune";0,00219406446173333;0;6,8;6,8;52964;74218;0;0;44;"01-01-2017";1,88205220159612
"189";2017;"Høje-Taastrup Kommune";0,00149175990837326;0;6,5;6,5;50246;73562;0;0;45;"01-01-2017";1,27962057121545
"190";2017;"Jammerbugt Kommune";0,00127919839903225;0;6,7;6,7;38581;61849;0;0;46;"01-01-2017";1,09728688703837
"191";2017;"Køge Kommune";0,00130066132527231;0;6,8;6,8;60109;64670;1;1;47;"01-01-2017";1,11569762577797
"192";2017;"Lemvig Kommune";0,000491923106247764;0;7,1;7,1;20291;65897;0;0;48;"01-01-2017";0,421967987393678
"193";2017;"Morsø Kommune";0,00291450084251421;0;6,3;6,3;20665;68910;0;0;49;"01-01-2017";2,50003717888681
"194";2017;"Nordfyns Kommune";0,00202802002582569;0;6,7;6,7;29446;65067;0;0;50;"01-01-2017";1,73962051756261
"195";2017;"Odense Kommune";0,00210876471597347;0;6,9;6,9;200563;60679;0;0;51;"01-01-2017";1,80888271314084
"196";2017;"Ringsted Kommune";0,00246540686530664;0;6,7;6,7;34259;64545;0;0;52;"01-01-2017";2,11480770032385
"197";2017;"Rudersdal Kommune";0,002234172293552;0;8,3;8,3;56133;62967;0;0;53;"01-01-2017";1,91645640187925
"198";2017;"Rødovre Kommune";0,00317123050759729;0;6,8;6,8;38492;76625;0;0;54;"01-01-2017";2,72025797905553
"199";2017;"Samsø Kommune";0,00112387684541161;0;6,8;6,8;3724;82388;0;0;55;"01-01-2017";0,964053211799801
"200";2017;"Sorø Kommune";0,00130321724477785;0;7;7;29595;62175;0;0;56;"01-01-2017";1,11789007454891
"201";2017;"Vejle Kommune";0,00225504670226669;0;7,1;7,1;113243;63268;0;0;57;"01-01-2017";1,93436231465606
"202";2018;"Bornholms Kommune";0,00236293964529001;0;6,7;6,7;39632;66890;0;0;44;"01-01-2018";2,02691207994113
"203";2018;"Fredericia Kommune";0,00173076992857982;0;6,5;6,5;51326;64293;0;0;45;"01-01-2018";1,48464159159965
"204";2018;"Furesø Kommune";0,00267520414729703;0;7,7;7,7;40911;70150;0;0;46;"01-01-2018";2,29477025080742
"205";2018;"Haderslev Kommune";0,00103402057253807;0;6,9;6,9;55963;64031;0;0;47;"01-01-2018";0,886975168224336
"206";2018;"Hillerød Kommune";0,00339011102513017;0;7,6;7,6;50650;68225;1;1;48;"01-01-2018";2,90801206153304
"207";2018;"Hvidovre Kommune";0,00318646204304267;0;6,8;6,8;53282;73965;0;0;49;"01-01-2018";2,73332347704733
"208";2018;"Hørsholm Kommune";0,00143875250395581;0;8,2;8,2;25028;65424;0;0;50;"01-01-2018";1,23415121335258
"209";2018;"Jammerbugt Kommune";0,00189158250997714;0;6,7;6,7;38638;63260;0;0;51;"01-01-2018";1,62258542968729
"210";2018;"Lejre Kommune";0,00326390849086312;0;7,3;7,3;27544;66229;0;0;52;"01-01-2018";2,79975646485077
"211";2018;"Middelfart Kommune";0,00352368463740992;0;7,2;7,2;38210;62856;0;0;53;"01-01-2018";3,02259051419511
"212";2018;"Norddjurs Kommune";0,00121273076333717;0;6,3;6,3;38197;74363;0;0;54;"01-01-2018";1,04027144274463
"213";2018;"Næstved Kommune";0,00297492277706782;0;6,8;6,8;82938;66375;0;0;55;"01-01-2018";2,5518666656383
"214";2018;"Roskilde Kommune";0,00286761778210251;0;7,6;7,6;87382;73989;0;0;56;"01-01-2018";2,45982123783115
"215";2018;"Silkeborg Kommune";0,00177459968790134;0;7,2;7,2;92024;59463;0;0;57;"01-01-2018";1,52223843365475
"216";2018;"Syddjurs Kommune";0,00368560069208259;0;6,9;6,9;42468;68819;1;1;58;"01-01-2018";3,16148090346367
"217";2018;"Sønderborg Kommune";0,00100204616030637;0;6,8;6,8;74650;68067;0;0;59;"01-01-2018";0,859547754862071
"218";2018;"Varde Kommune";0,00160021012353162;0;6,7;6,7;50301;68585;0;0;60;"01-01-2018";1,37264836039951
"219";2018;"Vesthimmerlands Kommune";0,00235330374403487;0;6,6;6,6;37277;64917;1;1;61;"01-01-2018";2,01864647540312
"220";2019;"Ballerup Kommune";0,00205407144169239;0;7;7;48458;81103;0;0;43;"01-01-2019";1,76196722862865
"221";2019;"Brønderslev Kommune";0,00209171695471058;0;7;7;36370;61218;0;0;44;"01-01-2019";1,79425927013053
"222";2019;"Dragør Kommune";0,00253604272196002;0;7,8;7,8;14270;60141;0;0;45;"01-01-2019";2,17539861360135
"223";2019;"Egedal Kommune";0,000339194152282606;0;7,3;7,3;43335;68453;0;0;46;"01-01-2019";0,290958224886283
"224";2019;"Favrskov Kommune";0,00145724269831899;0;7,2;7,2;48374;61567;0;0;47;"01-01-2019";1,25001196476445
"225";2019;"Frederiksberg Kommune";0,000505018163096053;0;7,5;7,5;103960;64146;0;0;48;"01-01-2019";0,433200829910929
"226";2019;"Furesø Kommune";0,00012227928588897;0;7,8;7,8;41069;70613;0;0;49;"01-01-2019";0,104890263358593
"227";2019;"Gribskov Kommune";0,000750546783657338;0;6,8;6,8;41195;69263;1;1;50;"01-01-2019";0,643813457270639
"228";2019;"Herlev Kommune";0;0;6,7;6,7;28786;74488;0;0;51;"01-01-2019";0
"229";2019;"Hjørring Kommune";0,00142918632213865;0;6,7;6,7;64665;61960;0;0;52;"01-01-2019";1,22594541363071
"230";2019;"Høje-Taastrup Kommune";0,00228696602981811;0;6,5;6,5;50686;77114;0;0;53;"01-01-2019";1,96174247678865
"231";2019;"Hørsholm Kommune";0,000702804550133826;0;7,9;7,9;25007;61708;0;0;54;"01-01-2019";0,602860523900096
"232";2019;"Ikast-Brande Kommune";0,00535421803417521;0;6,4;6,4;41282;62285;1;0;55;"01-01-2019";4,59280846793547
"233";2019;"Lolland Kommune";0,00106126390665974;0;5,9;5,9;41615;75285;0;0;56;"01-01-2019";0,910344297917999
"234";2019;"Nordfyns Kommune";0,00294579455503244;0;6,7;6,7;29693;68640;0;0;57;"01-01-2019";2,52688069308992
"235";2019;"Odense Kommune";0,00094151761190644;0;6,9;6,9;204182;63308;0;0;58;"01-01-2019";0,807626815544951
"236";2019;"Ringkøbing-Skjern Kommune";0,00185342788347729;0;6,5;6,5;56930;63412;1;0;59;"01-01-2019";1,58985667442164
"237";2019;"Roskilde Kommune";0,000840824419272789;0;7,5;7,5;87577;73651;0;0;60;"01-01-2019";0,721252942676972
"238";2019;"Rudersdal Kommune";0,0025071778783559;0;8,1;8,1;56509;61088;0;0;61;"01-01-2019";2,15063856511538
"239";2019;"Skive Kommune";0,00156497676870498;0;6,7;6,7;46224;68461;0;0;62;"01-01-2019";1,34242545028104
"240";2019;"Sorø Kommune";0,000943225465974157;0;6,8;6,8;29834;66476;0;0;63;"01-01-2019";0,809091800081281
"241";2019;"Tønder Kommune";0,0023454291903302;0;6,4;6,4;37587;63930;0;0;64;"01-01-2019";2,01189174171368
"242";2019;"Vesthimmerlands Kommune";0,00130932682558053;0;6,5;6,5;37121;67926;1;1;65;"01-01-2019";1,12313082759015
"243";2019;"Viborg Kommune";0,000508653736478783;0;7,1;7,1;97113;61562;1;1;66;"01-01-2019";0,436319397759946
"244";2016;"Guldborgsund Kommune";0,00329225561538283;-0,0999999999999996;6,4;6,5;60979;62185;0;0;60;"01-01-2016";2,82407241775084
"245";2016;"Morsø Kommune";0,00260644485031953;-0,0999999999999996;6,4;6,5;20629;67657;0;0;61;"01-01-2016";2,23578903648409
"246";2016;"Ringsted Kommune";0,00194478603742596;-0,0999999999999996;6,7;6,8;34031;63041;0;0;62;"01-01-2016";1,66822302043001
"247";2016;"Tønder Kommune";0,0019438105041477;-0,0999999999999996;6,5;6,6;37904;63544;0;0;63;"01-01-2016";1,66738621522848
"248";2016;"Vejle Kommune";0,000714499161567941;-0,0999999999999996;6,9;7;111743;59943;0;0;64;"01-01-2016";0,612892074741132
"249";2017;"Allerød Kommune";0,00064616243853596;-0,0999999999999996;8;8,1;24942;68030;1;1;58;"01-01-2017";0,554273341210123
"250";2017;"Ballerup Kommune";0,00184288562860638;-0,0999999999999996;7;7,1;48231;75335;0;0;59;"01-01-2017";1,58081360648284
"251";2017;"Gribskov Kommune";0,00325508821819356;-0,0999999999999996;6,9;7;41213;66874;1;1;60;"01-01-2017";2,79219050045639
"252";2017;"Halsnæs Kommune";0,00298908907622437;-0,0999999999999996;6,7;6,8;31162;71443;1;1;61;"01-01-2017";2,56401841185226
"253";2017;"Hillerød Kommune";0,00270938074513371;-0,0999999999999996;7,5;7,6;50109;67650;1;1;62;"01-01-2017";2,32408668262765
"254";2017;"Københavns Kommune";0,00210159289233911;-0,0999999999999996;6,9;7;602481;67009;0;0;63;"01-01-2017";1,80273077608706
"255";2017;"Lejre Kommune";0,00180806317859538;-0,0999999999999996;7,2;7,3;27402;64523;0;0;64;"01-01-2017";1,55094316746374
"256";2017;"Næstved Kommune";0,00409749455871007;-0,0999999999999996;6,7;6,8;82581;56342;0;0;65;"01-01-2017";3,51480040342848
"257";2017;"Odder Kommune";0;-0,0999999999999996;7,2;7,3;22331;59158;0;0;66;"01-01-2017";0
"258";2017;"Roskilde Kommune";0,003021582101523;-0,0999999999999996;7,5;7,6;87015;73569;0;0;67;"01-01-2017";2,59189068765199
"259";2017;"Slagelse Kommune";0;-0,0999999999999996;6,4;6,5;78828;67278;1;1;68;"01-01-2017";0
"260";2017;"Vallensbæk Kommune";0,00284270259120336;-0,0999999999999996;6,9;7;15705;67352;0;0;69;"01-01-2017";2,43844917210438
"261";2018;"Faxe Kommune";0,00192109612584934;-0,0999999999999996;6,5;6,6;36139;63934;0;0;62;"01-01-2018";1,64790199020688
"262";2018;"Guldborgsund Kommune";0,00247562901761136;-0,0999999999999996;6,5;6,6;61219;65721;0;0;63;"01-01-2018";2,12357618665855
"263";2018;"Herlev Kommune";0,00438322297849434;-0,0999999999999996;6,7;6,8;28572;70328;0;0;64;"01-01-2018";3,75989612002777
"264";2018;"Københavns Kommune";0,00203149071739158;-0,0999999999999996;6,9;7;613288;69256;0;0;65;"01-01-2018";1,74259765101359
"265";2018;"Køge Kommune";0,00153806412148157;-0,0999999999999996;7;7,1;60356;66811;1;1;66;"01-01-2018";1,31933998135294
"266";2018;"Læsø Kommune";0,000667261169091264;-0,0999999999999996;6;6,1;1807;92435;1;1;67;"01-01-2018";0,572371675595942
"267";2018;"Ringsted Kommune";0,00238563482978672;-0,0999999999999996;6,9;7;34473;67553;0;0;68;"01-01-2018";2,04637984066222
"268";2018;"Vallensbæk Kommune";0,00393779301799084;-0,0999999999999996;7;7,1;16280;68975;0;0;69;"01-01-2018";3,37780960778364
"269";2018;"Aarhus Kommune";0,00174233150394971;-0,0999999999999996;7,2;7,3;340421;64747;0;0;70;"01-01-2018";1,49455902509276
"270";2019;"Albertslund Kommune";0,000480956622014343;-0,0999999999999996;6,4;6,5;27877;87933;0;0;67;"01-01-2019";0,41256101865814
"271";2019;"Fredericia Kommune";0,00093984962406015;-0,0999999999999996;6,7;6,8;51427;67463;0;0;68;"01-01-2019";0,806196027957304
"272";2019;"Glostrup Kommune";0,00141553998121043;-0,0999999999999996;6,5;6,6;22615;72725;0;0;69;"01-01-2019";1,21423968372367
"273";2019;"Hvidovre Kommune";0,00239806462269034;-0,0999999999999996;6,7;6,8;53416;76004;0;0;70;"01-01-2019";2,05704202470815
"274";2019;"Langeland Kommune";0,00132641036710948;-0,0999999999999996;6;6,1;12560;92389;1;1;71;"01-01-2019";1,13778496264698
"275";2019;"Middelfart Kommune";0,00169358076872821;-0,0999999999999996;6,9;7;38553;64849;0;0;72;"01-01-2019";1,45274100645507
"276";2019;"Næstved Kommune";0,0031516396797257;-0,0999999999999996;6,7;6,8;82991;63503;0;0;73;"01-01-2019";2,70345311239373
"277";2019;"Odder Kommune";0,00113093676097546;-0,0999999999999996;6,9;7;22675;59924;0;0;74;"01-01-2019";0,970109154941755
"278";2019;"Odsherred Kommune";0,00187599131906162;-0,0999999999999996;6,2;6,3;33122;78705;0;0;75;"01-01-2019";1,60921142190409
"279";2019;"Ringsted Kommune";0,00284581185724855;-0,0999999999999996;6,5;6,6;34725;65449;0;0;76;"01-01-2019";2,44111627742775
"280";2019;"Skanderborg Kommune";0,00105120880193283;-0,0999999999999996;7,2;7,3;61974;63629;0;0;77;"01-01-2019";0,901719103755016
"281";2016;"Glostrup Kommune";0,00255568560501728;-0,100000000000001;6,8;6,9;22461;74607;0;0;65;"01-01-2016";2,19224813281484
"282";2016;"Norddjurs Kommune";0,00278655135590716;-0,100000000000001;6,3;6,4;38144;73979;0;0;66;"01-01-2016";2,3902830594606
"283";2016;"Odsherred Kommune";0,00214414724803581;-0,100000000000001;6,3;6,4;32816;77314;0;0;67;"01-01-2016";1,83923358638427
"284";2017;"Frederiksberg Kommune";0,00178509727575898;-0,100000000000001;7,6;7,7;105037;63991;0;0;70;"01-01-2017";1,53124318656129
"285";2017;"Frederikssund Kommune";0,00445148389795916;-0,100000000000001;6,8;6,9;45036;70121;0;0;71;"01-01-2017";3,81844982982181
"286";2017;"Kalundborg Kommune";0,00197656266979803;-0,100000000000001;6,3;6,4;48736;68008;0;0;72;"01-01-2017";1,69548077969745
"287";2017;"Odsherred Kommune";0,00235453262709089;-0,100000000000001;6,3;6,4;33023;78095;0;0;73;"01-01-2017";2,01970060216257
"288";2017;"Struer Kommune";0,00181877803311525;-0,100000000000001;7,1;7,2;21347;66453;1;1;74;"01-01-2017";1,56013429009966
"289";2017;"Thisted Kommune";0,00160428897193934;-0,100000000000001;6,8;6,9;43826;64303;1;1;75;"01-01-2017";1,37614716627309
"290";2017;"Tønder Kommune";0,00654556825092476;-0,100000000000001;6,3;6,4;37928;64215;0;0;76;"01-01-2017";5,6147398365946
"291";2018;"Frederiksberg Kommune";0,00143776943053922;-0,100000000000001;7,6;7,7;104410;67244;0;0;71;"01-01-2018";1,23330794027638
"292";2018;"Frederikssund Kommune";0,00338246903481292;-0,100000000000001;7,1;7,2;45189;67857;0;0;72;"01-01-2018";2,90145681899026
"293";2018;"Rødovre Kommune";0,00461008300742254;-0,100000000000001;6,8;6,9;39343;80540;0;0;73;"01-01-2018";3,95449496812232
"294";2018;"Tønder Kommune";0,00328266964539787;-0,100000000000001;6,3;6,4;37777;65573;0;0;74;"01-01-2018";2,81584964388558
"295";2018;"Tårnby Kommune";0,00105517660378964;-0,100000000000001;6,6;6,7;43063;70472;1;0;75;"01-01-2018";0,90512265472188
"296";2019;"Guldborgsund Kommune";0,00121773370783468;-0,100000000000001;6,3;6,4;60930;67266;0;0;78;"01-01-2019";1,04456293138147
"297";2019;"Haderslev Kommune";0,00503047919631304;-0,100000000000001;6,6;6,7;55857;64027;0;0;79;"01-01-2019";4,31510769698395
"298";2019;"Lejre Kommune";0,00341049146837145;-0,100000000000001;7,3;7,4;27775;66926;0;0;80;"01-01-2019";2,92549425439507
"299";2019;"Rødovre Kommune";0,00304754699885904;-0,100000000000001;6,8;6,9;40052;78759;0;0;81;"01-01-2019";2,61416318376494
"300";2019;"Stevns Kommune";0,00155833636241496;-0,100000000000001;6,8;6,9;22782;57326;1;1;82;"01-01-2019";1,3367293590788
"301";2017;"Faxe Kommune";0,00326186298066666;-0,199999999999999;6,4;6,6;35916;60187;0;0;77;"01-01-2017";2,79800184139472
"302";2017;"Stevns Kommune";0,00238705289548034;-0,199999999999999;6,4;6,6;22492;52504;1;1;78;"01-01-2017";2,04759624688329
"303";2018;"Ishøj Kommune";0,00176458608834825;-0,199999999999999;5,9;6,1;22988;83861;0;0;76;"01-01-2018";1,51364884232164
"304";2018;"Svendborg Kommune";0,00122074222514169;-0,199999999999999;6,9;7,1;58698;71508;1;1;77;"01-01-2018";1,0471436151854
"305";2019;"Holbæk Kommune";0,0030374691289114;-0,199999999999999;6,4;6,6;71297;59793;1;1;83;"01-01-2019";2,60551846176467
"306";2019;"Københavns Kommune";0,00255289450760553;-0,199999999999999;6,9;7,1;623404;66679;0;0;84;"01-01-2019";2,18985395018244
"307";2016;"Gladsaxe Kommune";0,00143318873888282;-0,2;7,1;7,3;67914;65689;0;0;68;"01-01-2016";1,2293786569909
"308";2016;"Greve Kommune";0,00116794056742849;-0,2;6,8;7;49518;63268;0;0;69;"01-01-2016";1,00185074531752
"309";2016;"Halsnæs Kommune";0,00346295891787917;-0,2;6,2;6,4;31049;71624;1;1;70;"01-01-2016";2,97050044294622
"310";2016;"Holbæk Kommune";0,00258739019918911;-0,2;6,6;6,8;69972;60071;1;1;71;"01-01-2016";2,21944409824908
"311";2016;"Hvidovre Kommune";0,00297668412231122;-0,2;6,6;6,8;52831;74035;0;0;72;"01-01-2016";2,55337753450789
"312";2016;"Kalundborg Kommune";0,00226895318512765;-0,2;6,3;6,5;48660;65594;0;0;73;"01-01-2016";1,94629119238113
"313";2016;"Københavns Kommune";0,00282223328236993;-0,2;6,7;6,9;591481;67822;0;0;74;"01-01-2016";2,42089075099733
"314";2016;"Næstved Kommune";0,00312265492613281;-0,2;6,6;6,8;82342;55262;0;0;75;"01-01-2016";2,67859020600987
"315";2017;"Brøndby Kommune";0,00113208334914501;-0,2;6,1;6,3;35594;78387;0;0;79;"01-01-2017";0,971092689758733
"316";2017;"Dragør Kommune";0,00104946870392438;-0,2;7,7;7,9;14288;65691;0;0;80;"01-01-2017";0,900226460605774
"317";2017;"Fredericia Kommune";0,00110622707687989;-0,2;6,6;6,8;50868;61538;0;0;81;"01-01-2017";0,94891337142495
"318";2017;"Ishøj Kommune";0,00260777299322995;-0,2;6;6,2;22719;82063;0;0;82;"01-01-2017";2,23692830760952
"319";2017;"Læsø Kommune";0,00121014827537291;-0,2;5,5;5,7;1793;89715;1;1;83;"01-01-2017";1,0380562037471
"320";2018;"Egedal Kommune";0,00183568357002453;-0,2;7,1;7,3;43000;67713;0;0;78;"01-01-2018";1,57463573411564
"321";2018;"Gladsaxe Kommune";0,00150465651838219;-0,2;7,1;7,3;69484;69693;0;0;79;"01-01-2018";1,29068318750762
"322";2018;"Greve Kommune";0,00162544293085197;-0,2;6,7;6,9;49974;67577;0;0;80;"01-01-2018";1,39429287513368
"323";2018;"Gribskov Kommune";0,00183012756441033;-0,2;6,8;7;41217;68338;1;1;81;"01-01-2018";1,56986983376008
"324";2018;"Halsnæs Kommune";0,00264836346052382;-0,2;6,5;6,7;31168;73002;1;1;82;"01-01-2018";2,27174650901911
"325";2018;"Helsingør Kommune";0,00202868197165121;-0,2;7;7,2;62686;71328;0;0;83;"01-01-2018";1,74018832977597
"326";2018;"Holbæk Kommune";0,00446748516294401;-0,2;6,6;6,8;70983;58667;1;1;84;"01-01-2018";3,83217559609637
"327";2018;"Høje-Taastrup Kommune";0,00299411349584444;-0,2;6,2;6,4;50596;74946;0;0;85;"01-01-2018";2,56832832168975
"328";2018;"Odsherred Kommune";0,00175372291060726;-0,2;6,3;6,5;33083;79033;0;0;86;"01-01-2018";1,50433048912813
"329";2018;"Sorø Kommune";0,00138245640193621;-0,2;6,7;6,9;29669;62816;0;0;87;"01-01-2018";1,18586083510929
"330";2018;"Thisted Kommune";0,00165917672189879;-0,2;6,5;6,7;43716;66638;1;1;88;"01-01-2018";1,42322947057796
"331";2019;"Frederikssund Kommune";0,00220474417997093;-0,2;6,8;7;45332;69504;0;0;85;"01-01-2019";1,89121318459004
"332";2019;"Hillerød Kommune";0,00320443770072932;-0,2;7,3;7,5;50998;74812;1;1;86;"01-01-2019";2,74874286271915
"333";2019;"Ishøj Kommune";0,00127900498903855;-0,2;5,7;5,9;22946;85951;0;0;87;"01-01-2019";1,09712098138208
"334";2019;"Nyborg Kommune";0,000929240828621634;-0,2;6,3;6,5;32042;61396;0;0;88;"01-01-2019";0,797095882013748
"335";2019;"Samsø Kommune";0,00123053485053192;-0,2;5,8;6;3684;81126;0;0;89;"01-01-2019";1,05554365652263
"336";2019;"Tårnby Kommune";0,00174069925655852;-0,2;6,6;6,8;42984;68575;1;0;90;"01-01-2019";1,49315889540208
"337";2016;"Albertslund Kommune";0,0012228035727287;-0,3;6,2;6,5;27880;79855;0;0;76;"01-01-2016";1,04891182383745
"338";2016;"Fredericia Kommune";0,00115069530883875;-0,3;6,7;7;50689;59575;0;0;77;"01-01-2016";0,9870578905669
"339";2016;"Frederikssund Kommune";0,00449596584684958;-0,3;6,8;7,1;44725;68446;0;0;78;"01-01-2016";3,85660611524579
"340";2016;"Helsingør Kommune";0,00172124071743935;-0,3;7;7,3;62092;68317;0;0;79;"01-01-2016";1,4764675050497
"341";2016;"Ishøj Kommune";0,00213819341049018;-0,3;5,5;5,8;22358;80386;0;0;80;"01-01-2016";1,83412642875234
"342";2016;"Lolland Kommune";0,00125608452519927;-0,3;5,8;6,1;42638;68688;0;0;81;"01-01-2016";1,07745997771392
"343";2016;"Vordingborg Kommune";0,00354579514154892;-0,3;6,3;6,6;45806;62237;1;1;82;"01-01-2016";3,04155674044734
"344";2017;"Albertslund Kommune";0,00409326548100492;-0,3;6,3;6,6;27896;83456;0;0;84;"01-01-2017";3,51117273197921
"345";2017;"Guldborgsund Kommune";0,00220272995742709;-0,3;6,2;6,5;61257;62918;0;0;85;"01-01-2017";1,88948539945006
"346";2017;"Holbæk Kommune";0,00276357473403991;-0,3;6,4;6,7;70950;57782;1;1;86;"01-01-2017";2,37057388385309
"347";2018;"Lolland Kommune";0,00239313520742205;-0,3;5,7;6;41982;71434;0;0;89;"01-01-2018";2,05281360889809
"348";2018;"Stevns Kommune";0,00225913847683015;-0,3;6,4;6,7;22727;57470;1;1;90;"01-01-2018";1,93787220849004
"349";2018;"Vordingborg Kommune";0,00417913089577514;-0,3;6,4;6,7;46087;63811;1;1;91;"01-01-2018";3,58482744711077
"350";2019;"Brøndby Kommune";0;-0,3;5,8;6,1;35397;82036;0;0;91;"01-01-2019";0
"351";2019;"Faxe Kommune";0,00201463656782377;-0,3;6,4;6,7;36513;63146;0;0;92;"01-01-2019";1,72814028667751
"352";2019;"Greve Kommune";0,00221100409747579;-0,3;6,9;7,2;50267;66126;0;0;93;"01-01-2019";1,89658289533797
"353";2019;"Halsnæs Kommune";0,00138511499211066;-0,3;6,3;6,6;31271;85919;1;1;94;"01-01-2019";1,18814135401756
"354";2019;"Helsingør Kommune";0,00100507849296496;-0,3;7;7,3;62567;74926;0;0;95;"01-01-2019";0,862148867297742
"355";2019;"Kalundborg Kommune";0,00252848071199327;-0,3;6;6,3;48681;73322;0;0;96;"01-01-2019";2,16891197760927
"356";2017;"Helsingør Kommune";0,00183283688986654;-0,300000000000001;7,1;7,4;62443;71916;0;0;87;"01-01-2017";1,57219387301628
"357";2017;"Langeland Kommune";0,000615812478666986;-0,300000000000001;6,1;6,4;12578;91634;1;1;88;"01-01-2017";0,52823937102101
"358";2018;"Albertslund Kommune";0,00209198903525181;-0,300000000000001;6,1;6,4;27743;83716;0;0;92;"01-01-2018";1,79449265879826
"359";2017;"Lolland Kommune";0;-0,399999999999999;5,7;6,1;42285;67930;0;0;89;"01-01-2017";0
"360";2018;"Langeland Kommune";0,000769862068927188;-0,399999999999999;5,9;6,3;12641;96887;1;1;93;"01-01-2018";0,660381965534913
"361";2016;"Gribskov Kommune";0,00278775761495378;-0,4;6,6;7;41107;61034;1;1;83;"01-01-2016";2,39131777951281
"362";2016;"Sorø Kommune";0,00212823869812661;-0,4;6,5;6,9;29543;60955;0;0;84;"01-01-2016";1,82558735041308
"363";2018;"Fanø Kommune";0,00277273701800624;-0,4;6,3;6,7;3401;69491;1;1;94;"01-01-2018";2,37843322299797
"364";2016;"Samsø Kommune";0,000974202235054692;-0,5;5,4;5,9;3710;74411;0;0;85;"01-01-2016";0,835663442557227
"365";2017;"Vordingborg Kommune";0,00490400685744072;-0,5;6,1;6,6;46037;62062;1;1;90;"01-01-2017";4,20662066391491
"366";2018;"Glostrup Kommune";0,00171305973837114;-0,5;6,3;6,8;22663;75819;0;0;95;"01-01-2018";1,46944992195901
"367";2018;"Kalundborg Kommune";0,00236605425719868;-0,5;6;6,5;48982;69771;0;0;96;"01-01-2018";2,02958377090649
"368";2018;"Morsø Kommune";0,00258822652438162;-0,5;6,1;6,6;20514;68923;0;0;97;"01-01-2018";2,22016149178846
"369";2019;"Vordingborg Kommune";0,00301902497631725;-0,5;5,9;6,4;45816;67347;1;1;97;"01-01-2019";2,58969720464036
